YEAR,DATE,PLANE,DEP,DES,DYLAND,NILAND,APPR,HOURS,NIGHT,IFR,GAD,CFI,STDNT,DUAL,PIC,SIC,SFTY,,,,,
1983,915,N4745R,I32,MGY,1,0,0,10,0,0,0,0,0,0,10,0,0,,,,,
1983,917,N4745R,MGY,MGY,1,0,0,15,0,0,0,0,0,0,0,0,15,,,,,
1983,924,N4745R,MGY,CPS,1,0,0,30,0,0,0,0,0,0,30,0,0,,,,,
1983,924,N4745R,CPS,RVS,1,0,0,31,0,0,0,0,0,0,31,0,0,,,,,
1983,926,N4745R,RVS,F69,1,0,0,18,0,0,0,0,0,0,18,0,0,,,,,
1983,926,N4745R,F69,RVS,1,0,0,18,0,1,0,0,0,0,18,0,0,,,,,
1983,927,N4745R,RVS,TDW,1,0,0,28,0,1,0,0,0,0,28,0,0,,,,,
1983,927,N4745R,TDW,LAM,1,0,0,27,0,3,0,0,0,0,27,0,0,,,,,
1983,928,N4745R,LAM,SAF,1,0,0,5,0,0,0,0,0,0,5,0,0,,,,,
1983,928,N4745R,SAF,LAM,1,0,0,4,0,0,0,0,0,0,4,0,0,,,,,
1983,928,N4745R,LAM,GCN,1,0,0,36,0,0,0,0,0,0,36,0,0,,,,,
1983,930,N4745R,GCN,SEE,1,0,0,39,0,10,0,0,0,0,39,0,0,,,,,
1983,1011,N4745R,SEE,SBP,1,0,0,25,0,0,0,0,0,0,25,0,0,,,,,
1983,1012,N4745R,SBP,SEE,1,0,0,25,0,0,0,0,0,0,25,0,0,,,,,
1983,1013,N4745R,SEE,SDL,1,0,0,23,0,0,0,0,0,0,23,0,0,,,,,
1983,1013,N4745R,SDL,LAM,1,0,0,28,0,0,0,0,0,0,28,0,0,,,,,
1983,1014,N4745R,LAM,SAF,1,0,0,4,0,0,0,0,0,0,4,0,0,,,,,
1983,1014,N4745R,SAF,TDW,1,0,0,18,0,0,0,0,0,0,18,0,0,,,,,
1983,1014,N4745R,TDW,RVS,1,0,0,23,0,0,0,0,0,0,23,0,0,,,,,
1983,1016,N4745R,RVS,SUS,1,0,0,28,0,15,0,0,0,0,28,0,0,,,,,
1983,1016,N4745R,SUS,MGY,1,0,0,26,0,3,0,0,0,0,26,0,0,,,,,
1983,1112,N5491H,MGY,CMH,1,0,0,8,0,0,0,0,0,0,8,0,0,,,,,
1983,1112,N5491H,CMH,MGY,1,0,0,9,0,0,0,0,0,0,9,0,0,,,,,
1983,1118,N1503R,MGY,MGY,1,0,0,10,0,0,0,0,0,0,10,0,0,,,,,
1983,1122,N1503R,MGY,ZZV,1,0,0,10,0,0,0,0,0,0,10,0,0,,,,,
1983,1122,N1503R,ZZV,MGY,1,0,0,12,0,0,0,0,0,0,12,0,0,,,,,
1983,1127,N5037V,MWO,CKV,1,0,0,23,0,23,0,0,0,0,23,0,0,,,,,
1983,1127,N5037V,CKV,MWO,0,1,0,10,10,10,0,0,0,0,10,0,0,,,,,
1983,1207,N95811,HNL,HNL,1,0,0,10,0,0,0,0,0,10,10,0,0,,,,,
1983,1207,N95811,HNL,OGG,1,0,0,12,0,0,0,0,0,0,12,0,0,,,,,
1983,1208,N95811,OGG,ONA,1,0,0,11,0,0,0,0,0,0,11,0,0,,,,,
1983,1209,N95811,ONA,ITO,1,0,0,15,0,0,0,0,0,0,15,0,0,,,,,
1983,1210,N95811,ITO,HNL,1,0,0,21,0,0,0,0,0,0,21,0,0,,,,,
1983,1214,N95811,HNL,LIH,1,0,0,17,0,0,0,0,0,0,17,0,0,,,,,
1983,1215,N95811,LIH,HNL,1,0,0,10,0,0,0,0,0,0,10,0,0,,,,,
1983,1229,N4745R,MGY,PHF,0,1,0,37,10,15,0,0,0,0,37,0,0,,,,,
1983,1231,N4745R,PHF,CRW,1,0,0,24,0,0,0,0,0,0,24,0,0,,,,,
1984,101,N4745R,CRW,MGY,1,0,0,15,0,0,0,0,0,0,15,0,0,,,,,
1984,111,N4745R,MGY,MGY,1,0,0,10,0,0,0,0,0,0,10,0,0,,,,,
1984,122,N4745R,MGY,CGF,1,0,0,13,0,0,0,0,0,0,13,0,0,,,,,
1984,122,N4745R,CGF,MGY,1,0,0,18,0,0,0,0,0,0,18,0,0,,,,,
1984,203,N5491H,MGY,MGY,1,0,0,18,0,15,0,0,0,0,18,0,0,,,,,
1984,225,N5491H,MGY,CMH,1,0,0,8,0,0,0,0,0,0,8,0,0,,,,,
1984,225,N5491H,CMH,MGY,1,0,0,12,0,0,0,0,0,0,12,0,0,,,,,
1984,312,N5491H,MGY,CMH,1,0,0,10,0,0,0,0,0,0,10,0,0,,,,,
1984,312,N5491H,CMH,MGY,1,0,0,7,0,0,0,0,0,0,7,0,0,,,,,
1984,316,N9292H,MGY,MGY,0,1,0,3,3,0,0,0,0,0,3,0,0,,,,,
1984,316,N9292H,MGY,LUK,0,1,0,5,5,0,0,0,0,0,5,0,0,,,,,
1984,316,N9292H,LUK,CRW,0,1,0,18,18,0,0,0,0,0,18,0,0,,,,,
1984,317,N9292H,CRW,DNL,1,0,0,35,0,15,0,0,0,0,35,0,0,,,,,
1984,317,N9292H,DNL,DNL,1,0,0,5,0,0,0,0,0,0,5,0,0,,,,,
1984,317,N9292H,DNL,ORL,0,1,0,31,10,0,0,0,0,0,31,0,0,,,,,
1984,319,N9292H,ORL,DNL,1,0,0,31,0,0,0,0,0,0,31,0,0,,,,,
1984,319,N9292H,DNL,DNL,1,0,0,5,0,0,0,0,0,0,5,0,0,,,,,
1984,319,N9292H,DNL,CRW,1,0,0,32,0,5,0,0,0,0,32,0,0,,,,,
1984,322,N9292H,CRW,MGY,1,0,0,25,0,3,0,0,0,0,25,0,0,,,,,
1984,326,N9292H,MGY,MGY,1,0,0,10,0,0,0,0,0,0,10,0,0,,,,,
1984,403,N5491H,MGY,MGY,1,0,0,17,0,15,0,0,0,0,17,0,0,,,,,
1984,407,N5491H,MGY,MGY,1,0,0,16,0,0,0,0,0,0,16,0,0,,,,,
1984,407,N9292H,MGY,MGY,0,1,0,10,10,0,0,0,0,0,10,0,0,,,,,
1984,420,N5491H,MGY,CSV,1,0,0,25,0,10,0,0,0,0,25,0,0,,,,,
1984,420,N5491H,CSV,MGM,1,0,0,30,0,15,0,0,0,0,30,0,0,,,,,
1984,421,N5491H,MGM,40J,1,0,0,25,0,2,0,0,0,0,25,0,0,,,,,
1984,421,N5491H,40J,MLB,1,0,0,22,0,0,0,0,0,0,22,0,0,,,,,
1984,426,N5491H,MLB,MLB,1,0,0,20,0,0,0,0,0,0,20,0,0,,,,,
1984,427,N5491H,MLB,AMG,1,0,0,22,0,0,0,0,0,0,22,0,0,,,,,
1984,427,N5491H,AMG,GVL,1,0,0,20,0,8,0,0,0,0,20,0,0,,,,,
1984,428,N5491H,GVL,MGY,1,0,0,32,0,21,0,0,0,0,32,0,0,,,,,
1984,510,N9292H,MGY,CSV,1,0,0,25,0,0,0,0,0,0,25,0,0,,,,,
1984,510,N9292H,CSV,MGM,1,0,0,25,0,0,0,0,0,0,25,0,0,,,,,
1984,510,N9292H,MGM,DTS,1,0,0,15,0,0,0,0,0,0,15,0,0,,,,,
1984,513,N9292H,DTS,1A0,1,0,0,35,0,5,0,0,0,0,35,0,0,,,,,
1984,513,N9292H,1A0,MGY,1,0,0,34,0,5,0,0,0,0,34,0,0,,,,,
1984,604,N5491H,MGY,CRW,1,0,0,15,0,0,0,0,0,0,15,0,0,,,,,
1984,605,N5491H,CRW,BLF,1,0,0,9,0,0,0,0,0,0,9,0,0,,,,,
1984,605,N5491H,BLF,CRW,1,0,0,10,0,0,0,0,0,0,10,0,0,,,,,
1984,607,N5491H,CRW,MGY,1,0,0,21,0,0,0,0,0,0,21,0,0,,,,,
1984,610,N5491H,MGY,MGY,1,0,0,12,0,0,0,0,0,0,12,0,0,,,,,
1984,702,N5491H,MGY,CRW,1,0,0,18,0,3,10,0,0,0,18,0,0,,,,,
1984,702,N5491H,CRW,MGY,1,0,0,30,0,15,0,0,0,0,30,0,0,,,,,
1984,702,N4745R,MGY,GSO,0,1,0,24,15,12,0,0,0,0,24,0,0,,,,,
1984,703,N4745R,GSO,MGY,0,1,0,29,29,13,0,0,0,0,29,0,0,,,,,
1984,726,N9292H,MGY,MGY,1,0,0,18,0,8,8,0,0,0,18,0,0,,,,,
1984,813,N4745R,MGY,CRW,1,0,0,19,0,10,0,0,0,0,19,0,0,,,,,
1984,813,N4745R,CRW,MNI,1,0,0,30,0,20,0,0,0,0,30,0,0,,,,,
1984,817,N4745R,MNI,CHS,1,0,0,5,0,3,0,0,0,0,5,0,0,,,,,
1984,817,N4745R,CHS,MNI,1,0,0,7,0,5,0,0,0,0,7,0,0,,,,,
1984,817,N4745R,MNI,LNP,1,0,0,24,0,13,0,0,0,0,24,0,0,,,,,
1984,817,N4745R,LNP,ISZ,1,0,0,18,0,9,0,0,0,0,18,0,0,,,,,
1984,817,N4745R,ISZ,MGY,1,0,0,3,0,0,0,0,0,0,3,0,0,,,,,
1984,820,N5491H,MGY,MGY,0,1,0,12,12,0,0,0,0,0,12,0,0,,,,,
1984,825,N1503R,MGY,MGY,1,0,0,11,0,0,5,0,0,0,11,0,0,,,,,
1984,831,N5491H,MGY,CLE,1,0,0,18,0,0,0,0,0,0,18,0,0,,,,,
1984,831,N5491H,CLE,MGY,1,0,0,17,0,0,0,0,0,0,17,0,0,,,,,
1984,831,N9292H,DBQ,DBQ,0,1,0,2,2,0,0,0,0,0,2,0,0,,,,,
